127.0.0.1 - - [06/Aug/2017:13:30:44 +0200] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [06/Aug/2017:13:30:44 +0200] "GET /LeagueOfStalk/LoSMain.html HTTP/1.1" 200 1001
0:0:0:0:0:0:0:1 - - [06/Aug/2017:13:30:44 +0200] "GET /LeagueOfStalk/CSS/LoSStyleSheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2017:13:30:44 +0200] "GET /LeagueOfStalk/PICTURES/testlogo.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2017:13:30:59 +0200] "GET /LeagueOfStalk/LoSMain.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2017:13:30:59 +0200] "GET /LeagueOfStalk/CSS/LoSStyleSheet.css HTTP/1.1" 200 772
0:0:0:0:0:0:0:1 - - [06/Aug/2017:13:30:59 +0200] "GET /LeagueOfStalk/PICTURES/testlogo.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2017:13:31:06 +0200] "GET /LeagueOfStalk/SummonerLookup?summoner=Dreifingerjoey HTTP/1.1" 200 663
0:0:0:0:0:0:0:1 - - [06/Aug/2017:13:31:06 +0200] "GET /LeagueOfStalk/CSS/LoSStyleSheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2017:13:31:16 +0200] "GET /LeagueOfStalk/CSS/LoSStyleSheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2017:13:31:22 +0200] "GET /LeagueOfStalk/SummonerLookup?summoner=Dreifingerjoey HTTP/1.1" 200 663
0:0:0:0:0:0:0:1 - - [06/Aug/2017:13:32:19 +0200] "GET /LeagueOfStalk/SummonerLookup?summoner=Dreifingerjoey HTTP/1.1" 200 663
0:0:0:0:0:0:0:1 - - [06/Aug/2017:13:32:19 +0200] "GET /LeagueOfStalk/CSS/LoSStyleSheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2017:13:32:42 +0200] "GET /LeagueOfStalk/SummonerLookup?summoner=Dreifingerjoey HTTP/1.1" 200 676
0:0:0:0:0:0:0:1 - - [06/Aug/2017:13:32:42 +0200] "GET /LeagueOfStalk/CSS/LoSStyleSheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2017:13:32:42 +0200] "GET /LeagueOfStalk/SummonerLookup?summoner=Dreifingerjoey HTTP/1.1" 200 676
0:0:0:0:0:0:0:1 - - [06/Aug/2017:13:32:42 +0200] "GET /LeagueOfStalk/CSS/LoSStyleSheet.css HTTP/1.1" 304 -
